state,action,reward,next state
"[2.017566204071045, 260.574951171875, -0.004587268922477961, 53.67862595726261, 0.0]",0.0,"[0.8, 2.6829693887134005, -1.2265518307685852e-05, 3.482957123195093]","[1.9909635782241821, 185.2989959716797, -0.004566859919577837, 53.659387774268005, 0.0]"
"[1.9909635782241821, 185.2989959716797, -0.004566859919577837, 53.659387774268005, 0.0]",0.0,"[0.8, 1.0663666111991987, -0.00021086599677801134, 1.8661557452024207]","[1.9631273746490479, 132.49159240722656, -0.004080257378518581, 21.327332223983973, 0.0]"
"[1.9631273746490479, 132.49159240722656, -0.004080257378518581, 21.327332223983973, 0.0]",1,"[0.8, 0.8980200205397323, -1.816079020500183e-09, 1.6980200187236534]","[1.950482726097107, 107.84190368652344, -0.004703579004853964, 17.960400410794644, 0.0]"
"[1.950482726097107, 107.84190368652344, -0.004703579004853964, 17.960400410794644, 0.0]",0.0,"[0.8, 0.898020522422794, -4.241173155605793e-06, 1.6980162812496384]","[1.9423130750656128, 82.39669036865234, -0.004703617189079523, 17.960410448455878, 0.0]"
"[1.9423130750656128, 82.39669036865234, -0.004703617189079523, 17.960410448455878, 0.0]",0.0,"[0.8, 0.8980201473650763, -1.0244548320770264e-09, 1.6980201463406215]","[1.9519312381744385, 56.45506286621094, -0.004703502636402845, 17.960402947301525, 0.0]"
"[1.9519312381744385, 56.45506286621094, -0.004703502636402845, 17.960402947301525, 0.0]",0.0,"[0.8, 0.8980201473815983, -8.102506399154664e-09, 1.698020139279092]","[1.9626246690750122, 32.508541107177734, -0.004703502636402845, 17.960402947631966, 0.0]"
"[1.9626246690750122, 32.508541107177734, -0.004703502636402845, 17.960402947631966, 0.0]",0.0,"[0.8, 0.7858244041149186, -0.002597969770431519, 1.5832264343444873]","[2.219390869140625, 9.155718803405762, -0.005478801671415567, 15.803699786901877, 0.0]"
"[2.219390869140625, 9.155718803405762, -0.005478801671415567, 15.803699786901877, 0.0]",2,"[0.8, 0.7832967501647858, -0.0004207611083984375, 1.5828759890563875]","[22.94915199279785, 2.0045838356018066, -0.0047022816725075245, 15.665935003295715, 0.0]"
"[22.94915199279785, 2.0045838356018066, -0.0047022816725075245, 15.665935003295715, 0.0]",2,"[0.8, 0.7830606174573461, -0.00030450820922851564, 1.5827561092481175]","[44.051963806152344, 1.9691859483718872, -0.0047028157860040665, 15.661212349146922, 0.0]"
"[44.051963806152344, 1.9691859483718872, -0.0047028157860040665, 15.661212349146922, 0.0]",0.0,"[0.8, 0.7770951995713936, -0.0001621246337890625, 1.5769330749376045]","[65.58213806152344, 1.9621955156326294, -0.004674396477639675, 15.541903991427871, 0.0]"
