state,action,reward,next state
[49],5,"[0.8, 0.0, -0.0, 0.8]",[49]
[49],5,"[0.8, 0.0, -0.0, 0.8]",[49]
[49],5,"[0.8, 0.618247335136945, -0.00014170249924063682, 1.4181056326377044]",[49]
[49],3,"[0.8, 0.6269099107839589, -0.03196721076965332, 1.3949427000143055]",[4]
[4],4,"[0.8, 1.3877977004752053, -0.0001895904541015625, 2.187608110021104]",[24]
[24],4,"[0.8, 1.3877104168958567, -8.106231689453125e-06, 2.187702310664167]",[18]
[18],0,"[0.8, 1.3877185545747281, -1.1634826660156251e-05, 2.1877069197480683]",[2]
[2],3,"[0.8, 1.3877072269565982, -1.1539459228515625e-05, 2.18769568749737]",[21]
[21],0,"[0.8, 1.5470078708339468, -0.0008028030395507813, 2.346205067794396]",[17]
[17],0,"[0.8, 0.014799558201980423, -0.016424856185913085, 0.7983747020160674]",[12]
[12],4,"[0.8, 0.014799891946953542, -0.016425222158432007, 0.7983746697885216]",[12]
[12],4,"[0.8, 1.7245538551747755e-05, -0.016424716711044313, 0.7835925288275075]",[12]
[12],4,"[0.8, 0.014800043057480367, -0.016425390243530274, 0.7983746528139501]",[12]
[12],4,"[0.8, 0.014800533404346032, -0.01642593741416931, 0.7983745959901768]",[12]
[12],7,"[0.8, 0.6749804311132006, -0.008912849426269532, 1.466067581686931]",[27]
[27],0,"[0.8, 0.8981896281434605, -0.043878698348999025, 1.6543109297944616]",[14]
[14],4,"[0.8, 0.7610880069487694, -2.1475646644830703e-05, 1.5610665313021248]",[7]
[7],0,"[0.8, 0.0001954000918686507, -1.2344318747636862e-07, 0.8001952766486812]",[36]
[36],7,"[0.8, 7.03851708081008e-08, -9.179057514074885e-12, 0.8000000703759917]",[36]
[36],7,"[0.8, 1.5450403015316972e-08, -1.3919675190265936e-10, 0.8000000153112063]",[36]
[36],7,"[0.8, 0.6855912865917498, -6.37606717646122e-07, 1.4855906489850321]",[32]
[32],4,"[0.8, 0.8907171429082577, -0.04569978713989258, 1.6450173557683652]",[19]
[19],7,"[0.8, 1.1204463316026338, -0.019418811798095705, 1.901027519804538]",[6]
[6],6,"[0.8, 1.1104923138442733, -0.07362489700317383, 1.8368674168410994]",[6]
[6],0,"[0.8, 1.1174184533709635, -0.020308208465576173, 1.8971102449053874]",[13]
